PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
6400735,2896145.0,2896145.0,2.403517299616076,A,Y,AY
6704978,2096381.3699999999,4992526.37,4.143308950029937,A,X,AX
6400783,1772880.0,6765406.37,5.614626080264559,A,X,AX
6605171,1031037.6,7796443.97,6.4702865213525005,A,Y,AY
6605172,1010622.97,8807066.94,7.309004814733661,A,Y,AY
6319131-1,807603.0059999999,9614669.945999999,7.97923637984623,A,Y,AY
3111467,773952.0,10388621.945999999,8.621540898809355,A,Y,AY
6453939,746741.0,11135362.945999999,9.241262947198717,A,Y,AY
6605235,743102.46,11878465.406,9.857965362995325,A,X,AX
7230219,715106.0,12593571.406,10.45143345318392,A,Y,AY
6500449,697406.48,13290977.886,11.030212671608536,A,Y,AY
6603023,682674.85,13973652.736,11.596766076906892,A,Y,AY
6601768,674362.5,14648015.236,12.156421044100298,A,Y,AY
6605037,658829.82,15306845.056,12.703185404956866,A,Y,AY
6454043-01,648803.44,15955648.496,13.24162885032663,A,Y,AY
6605173,642427.4,16598075.896,13.774780805649096,A,Y,AY
6453819,580800.0,17178875.895999998,14.256788042032984,A,X,AX
6702046,570582.75,17749458.645999998,14.73031595948446,A,Y,AY
3111468,567240.0,18316698.645999998,15.201069721134594,A,Y,AY
6705024,548717.47,18865416.115999997,15.65645159315639,A,X,AX
6319129-2,534743.72,19400159.835999995,16.100236618381665,A,X,AX
Q74111010-2,529550.84,19929710.675999995,16.53971206072527,A,Y,AY
3371032,521062.9,20450773.575999994,16.97214334242495,A,Y,AY
6605100,518057.115,20968830.690999992,17.402080116340514,A,X,AX
6605101,482931.41000000003,21451762.100999992,17.802865988064127,A,X,AX
6201290,474644.7,21926406.80099999,18.196774700376903,A,Y,AY
6319107-2,471678.0,22398084.80099999,18.58822134163565,A,X,AX
3371033,469736.0,22867820.80099999,18.97805631269285,A,X,AX
6310230-8A,458461.6055,23326282.406499993,19.35853463820107,A,X,AX
3361631,450937.34,23777219.746499993,19.732768558717087,A,Y,AY
6400661,442292.629,24219512.375499994,20.09982821398096,A,X,AX
3371062,434351.97,24653864.345499992,20.46029789834321,A,Z,AZ
25-1085,428940.0,25082804.345499992,20.81627617653623,A,Z,AZ
3111789,427780.01,25510584.355499994,21.17129177639913,A,X,AX
6000753,425806.416,25936390.771499995,21.52466948612828,A,Y,AY
3371063,420544.0,26356934.771499995,21.873679904891752,A,Z,AZ
Q741110088-4,416844.9,26773779.671499994,22.219620432181213,A,X,AX
Q744110042-4,407302.8115,27181082.482999995,22.55764195859737,A,X,AX
6310230-5A,385965.533,27567048.015999995,22.877955629225404,A,Y,AY
6410079,385657.80000000005,27952705.815999996,23.198013911539267,A,Z,AZ
6322180,384321.72,28337027.535999995,23.5169633780329,A,Z,AZ
6605170,373700.0,28710727.535999995,23.82709785502439,A,X,AX
6310368-2,371234.36,29081961.895999994,24.13518609179151,A,Y,AY
6319064-1,368951.77,29450913.665999994,24.441380001944136,A,X,AX
6604749,367699.68,29818613.345999993,24.746534799767893,A,X,AX
6322079,367255.69060000003,30185869.036599994,25.051321129782295,A,Z,AZ
6704664,366478.56,30552347.596599992,25.35546251735038,A,X,AX
6453655-1,365134.0,30917481.596599992,25.65848805152703,A,Y,AY
Plant A Rehabilitation,364700.0,31282181.596599992,25.96115340812001,A,Z,AZ
3182612,362416.14999999997,31644597.74659999,26.261923392421643,A,Y,AY
3382430,357906.39999999997,32002504.14659999,26.55895072497692,A,X,AX
6425072,357427.2,32359931.34659999,26.855580368366088,A,X,AX
6453093,356803.83335000003,32716735.179949988,27.151692678359566,A,Y,AY
6319131-3,352858.33,33069593.509949986,27.44453060618039,A,Y,AY
Area #1,351647.0,33421240.509949986,27.736363248488733,A,Z,AZ
