PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
#00MA00001 & #00MA05300,6.1,2166.0833333333335,541.5208,1.06,5.75,0.53,574.51,50,0.25
#1 tool repair,11.97,4268.445,1067.1112,1.06,11.29,0.53,1130.07,50,0.25
#12,3650.0,6.62,1.655,469.62,7.77,234.81,777.11,50,0.25
#2 tool repair,365.0,5926.34,1481.585,4.96,73.59,2.48,7353.83,50,0.25
#33 W/HDWR 3 WHEEL,7300.0,9.5225,2.3806,553.76,13.18,276.88,1318.14,50,0.25
#F-2800,730.0,23.0,5.75,112.67,6.48,56.34,647.96,50,0.25
#F-2803,365.0,98.0,24.5,38.6,9.46,19.3,945.85,50,0.25
#F-2810,730.0,36.0,9.0,90.06,8.11,45.03,810.77,50,0.25
#F-2813,365.0,86.0,21.5,41.2,8.86,20.6,885.9,50,0.25
#F-2823,365.0,128.0,32.0,33.77,10.81,16.89,1080.98,50,0.25
#F-2833,365.0,185.0,46.25,28.09,12.99,14.04,1298.85,50,0.25
*COMM SECTIO,365.0,1100.0,275.0,11.52,31.68,5.76,3168.0,50,0.25
*COMM SPRIN,365.0,950.0,237.5,12.4,29.44,6.2,2944.5,50,0.25
*COMM SPRING,38.42,1232.5,308.125,3.53,10.88,1.76,1086.3,50,0.25
*LIFTMASTER,365.0,395.0,98.75,19.23,18.98,9.62,1898.98,50,0.25
*MISC RAYNOR,64.41,340.0,85.0,8.7,7.4,4.35,739.75,50,0.25
*MISC SECTI,365.0,1222.0,305.5,10.93,33.39,5.46,3337.53,50,0.25
-L14112-1500,365.0,340.0,85.0,20.72,17.62,10.36,1761.6,50,0.25
.2AXISDROINSTALL,365.0,620.0,155.0,15.35,23.78,7.68,2379.4,50,0.25
.312 37- 3/4 C RIGHT,365.0,287.5,71.875,22.53,16.2,11.26,1619.31,50,0.25
.312 48- 3/4 C Pair,365.0,622.0,155.5,15.32,23.83,7.66,2382.63,50,0.25
.312 WIRE X 59.75 LONG X 2.25,6.72,499.0,124.75,2.32,2.9,1.16,289.71,50,0.25
.331 43- 1/4 C LEFT,365.0,287.5,71.875,22.53,16.2,11.26,1619.31,50,0.25
.331 X 36 X 3.5 RW,365.0,340.5,85.125,20.71,17.62,10.36,1762.9,50,0.25
.331x43x3.5 Right,365.0,365.5,91.375,19.99,18.26,9.99,1825.84,50,0.25
.344 X 39 X 3.5 LW,365.0,340.5,85.125,20.71,17.62,10.36,1762.9,50,0.25
.344x46.5x3.5 Left,365.0,365.5,91.375,19.99,18.26,9.99,1825.84,50,0.25
.362 45 D PAIR,365.0,860.0,215.0,13.03,28.01,6.52,2802.3,50,0.25
