PartNum,method,part_type,avg_forecasted_monthly_demand
#00MA00001 & #00MA05300,exponential_smoothing,highly_variable,0.45
#1 tool repair,exponential_smoothing,moderate,0.8
#12,average_fallback,insufficient_history,10.0
#2 tool repair,average_fallback,insufficient_history,1.0
#33 W/HDWR 3 WHEEL,average_fallback,insufficient_history,20.0
#F-2800,average_fallback,insufficient_history,2.0
#F-2803,average_fallback,insufficient_history,1.0
#F-2810,average_fallback,insufficient_history,2.0
#F-2813,average_fallback,insufficient_history,1.0
#F-2823,average_fallback,insufficient_history,1.0
#F-2833,average_fallback,insufficient_history,1.0
*COMM SECTIO,average_fallback,insufficient_history,1.0
*COMM SPRIN,average_fallback,insufficient_history,1.0
*COMM SPRING,average_fallback,insufficient_history,2.0
*LIFTMASTER,average_fallback,insufficient_history,1.0
*MISC RAYNOR,average_fallback,insufficient_history,1.5
*MISC SECTI,average_fallback,insufficient_history,1.0
-L14112-1500,average_fallback,insufficient_history,1.0
.2AXISDROINSTALL,average_fallback,insufficient_history,1.0
.312 37- 3/4 C RIGHT,average_fallback,insufficient_history,1.0
.312 48- 3/4 C Pair,average_fallback,insufficient_history,1.0
.312 WIRE X 59.75 LONG X 2.25,exponential_smoothing,highly_variable,0.5
.331 43- 1/4 C LEFT,average_fallback,insufficient_history,1.0
.331 X 36 X 3.5 RW,average_fallback,insufficient_history,1.0
.331x43x3.5 Right,average_fallback,insufficient_history,1.0
.344 X 39 X 3.5 LW,average_fallback,insufficient_history,1.0
.344x46.5x3.5 Left,average_fallback,insufficient_history,1.0
.362 45 D PAIR,average_fallback,insufficient_history,1.0
.393 X 51.25 X 5.5 Right wound,average_fallback,insufficient_history,1.0
.406 WIRE X 56.5 X 5.5 LEFT,average_fallback,insufficient_history,1.0
".406 WIRE X 56.5 X 5.5, RIGHT",exponential_smoothing,highly_variable,1.0
.406 X 54 X 5.5 ID X LEFT WOUND,average_fallback,insufficient_history,2.0
.406 X 55.25 X 5.5 Left Wound,average_fallback,insufficient_history,1.0
.AR-LMV50,average_fallback,insufficient_history,1.0
.EC0705,average_fallback,insufficient_history,1.0
.EC0711,average_fallback,insufficient_history,1.0
.SP-250A,average_fallback,insufficient_history,1.0
.XAXISINSTALL,average_fallback,insufficient_history,1.0
000-068,average_fallback,insufficient_history,20.0
00028,average_fallback,insufficient_history,1.0
00087750,average_fallback,insufficient_history,2.0
00088944,average_fallback,insufficient_history,5.0
0015184,average_fallback,insufficient_history,2.0
003101,average_fallback,insufficient_history,1.0
003149,average_fallback,insufficient_history,1.0
003233,average_fallback,insufficient_history,1.0
003249,average_fallback,insufficient_history,1.0
00370521,average_fallback,insufficient_history,2.0
00446310,average_fallback,insufficient_history,2.0
00515779,average_fallback,insufficient_history,2.0
005263,average_fallback,insufficient_history,2.0
0060592,average_fallback,insufficient_history,1.0
006109,average_fallback,insufficient_history,2.0
00655255,average_fallback,insufficient_history,1.0
007040,exponential_smoothing,highly_variable,4.98
00KB00411,average_fallback,insufficient_history,1.0
00MA00001 with glass covering 00MA05300,average_fallback,insufficient_history,2.0
0102615,average_fallback,insufficient_history,20.0
0103362,average_fallback,insufficient_history,200.0
0103374,average_fallback,insufficient_history,100.0
0103376,average_fallback,insufficient_history,15.0
01036ET3ER215TC-W22,average_fallback,insufficient_history,1.0
0104475,average_fallback,insufficient_history,2.0
0105408,exponential_smoothing,highly_variable,490.62
0105416,average_fallback,insufficient_history,9.0
010551603140,average_fallback,insufficient_history,1.0
011093,average_fallback,insufficient_history,1.0
0111780,average_fallback,insufficient_history,2.0
0112139,average_fallback,insufficient_history,50.0
0112877,average_fallback,insufficient_history,45.0
0114628,average_fallback,insufficient_history,100.0
0114640,exponential_smoothing,highly_variable,29.9
0117828,exponential_smoothing,highly_variable,72.73
0118539,exponential_smoothing,highly_variable,9.33
0118750,holt_winters,seasonal,113.67
0118755,exponential_smoothing,moderate,169.68
0119096,average_fallback,insufficient_history,5.0
0119290,average_fallback,insufficient_history,5.0
0119920,average_fallback,insufficient_history,100.0
0120128,average_fallback,insufficient_history,16.0
0120228,average_fallback,insufficient_history,20.0
0120233,exponential_smoothing,highly_variable,75.0
0120254,average_fallback,insufficient_history,4.0
0120280,exponential_smoothing,highly_variable,19.93
0120375,average_fallback,insufficient_history,100.0
0120375-CR,exponential_smoothing,highly_variable,76.84
0120377,average_fallback,insufficient_history,100.0
0120377-CR,average_fallback,insufficient_history,20.0
0120382,average_fallback,insufficient_history,100.0
0120388,average_fallback,insufficient_history,200.0
0120390,average_fallback,insufficient_history,200.0
0120499,exponential_smoothing,highly_variable,32.37
012056,average_fallback,insufficient_history,4.0
0120583,exponential_smoothing,highly_variable,125.0
0120704,exponential_smoothing,highly_variable,19.93
0120706,average_fallback,insufficient_history,50.0
0121208,average_fallback,insufficient_history,300.0
0121758,exponential_smoothing,highly_variable,6.36
0121973,average_fallback,insufficient_history,100.0
0122119,exponential_smoothing,highly_variable,8.0
0122126,average_fallback,insufficient_history,70.0
0122394,average_fallback,insufficient_history,20.0
0124847,average_fallback,insufficient_history,100.0
0126032,average_fallback,insufficient_history,100.0
0126103,average_fallback,insufficient_history,1.0
0126168,average_fallback,insufficient_history,5.0
0127796,average_fallback,insufficient_history,100.0
0127963,exponential_smoothing,moderate,101.89
0129881,average_fallback,insufficient_history,1.0
013026RR,average_fallback,insufficient_history,1.0
013026RT,average_fallback,insufficient_history,1.0
0130999-CR,exponential_smoothing,moderate,474.7
0131044-CR,average_fallback,insufficient_history,200.0
0131577,exponential_smoothing,highly_variable,6.0
0135801,average_fallback,insufficient_history,1.0
0136038,average_fallback,insufficient_history,12.0
0136040,exponential_smoothing,highly_variable,3.82
0136041,average_fallback,insufficient_history,12.0
0136489,exponential_smoothing,highly_variable,53.33
0137156,exponential_smoothing,highly_variable,3.33
0137157,exponential_smoothing,highly_variable,41.33
01374253,average_fallback,insufficient_history,15.0
0137971,average_fallback,insufficient_history,10.0
0138561,average_fallback,insufficient_history,100.0
0139420,average_fallback,insufficient_history,100.0
0140807,exponential_smoothing,moderate,59.6
0142017,average_fallback,insufficient_history,50.0
0142155,exponential_smoothing,highly_variable,39.29
0142393,average_fallback,insufficient_history,4000.0
0142394,exponential_smoothing,highly_variable,1157.9
0142772,average_fallback,insufficient_history,20.0
0142834,average_fallback,insufficient_history,5.0
0144066,exponential_smoothing,highly_variable,12.0
0144069,average_fallback,insufficient_history,10.0
0144129,exponential_smoothing,highly_variable,18.57
0144215,exponential_smoothing,highly_variable,16.92
0144523,average_fallback,insufficient_history,25.0
0145815002,average_fallback,insufficient_history,6.0
0146152,exponential_smoothing,highly_variable,0.59
0150217,average_fallback,insufficient_history,10.0
0150225,average_fallback,insufficient_history,50.0
0150228,average_fallback,insufficient_history,10.0
0150653,average_fallback,insufficient_history,6.0
0150863,average_fallback,insufficient_history,4.0
0150875,average_fallback,insufficient_history,10.0
0150876,exponential_smoothing,highly_variable,3.0
0150966,average_fallback,insufficient_history,10.0
0153148880,average_fallback,insufficient_history,2.0
0154465881,average_fallback,insufficient_history,2.0
0156449001,average_fallback,insufficient_history,2.0
0158559,exponential_smoothing,highly_variable,6.0
015975,exponential_smoothing,highly_variable,0.5
0161812,average_fallback,insufficient_history,200.0
01705696,average_fallback,insufficient_history,2.0
0171503,average_fallback,insufficient_history,2.0
017398808040,average_fallback,insufficient_history,1.0
017894404,average_fallback,insufficient_history,5.0
0179097,exponential_smoothing,moderate,56.67
0179402,exponential_smoothing,highly_variable,0.24
0179892,average_fallback,insufficient_history,10.0
0180018,exponential_smoothing,highly_variable,184.21
0180021-CR,average_fallback,insufficient_history,100.0
0180079-CR,average_fallback,insufficient_history,100.0
0180080,exponential_smoothing,highly_variable,9.97
0180120-CR,average_fallback,insufficient_history,20.0
0180121-CR,average_fallback,insufficient_history,44.0
0180126-CR,exponential_smoothing,highly_variable,30.0
0180128-CR,average_fallback,insufficient_history,200.0
0180132-CR,average_fallback,insufficient_history,100.0
0180137-CR,average_fallback,insufficient_history,50.0
0180143,average_fallback,insufficient_history,200.0
0180175-CR,average_fallback,insufficient_history,10.0
0180179-CR,average_fallback,insufficient_history,28.0
0180190-CR,exponential_smoothing,highly_variable,5.45
0181603,average_fallback,insufficient_history,2.0
0181700,average_fallback,insufficient_history,10.0
0186725,exponential_smoothing,moderate,1000.0
0187394,average_fallback,insufficient_history,10.0
0187399,exponential_smoothing,moderate,96.85
0187406,exponential_smoothing,moderate,4.0
0189103,exponential_smoothing,highly_variable,47.5
0189304,exponential_smoothing,highly_variable,15.0
0189347,average_fallback,insufficient_history,10.0
0189777,exponential_smoothing,highly_variable,0.83
0191163-CR,exponential_smoothing,highly_variable,113.42
0191603,average_fallback,insufficient_history,2.0
02-00118,average_fallback,insufficient_history,10.0
0200625,average_fallback,insufficient_history,2.5
0200688,average_fallback,insufficient_history,10.0
0201423,average_fallback,insufficient_history,3.0
0202214,average_fallback,insufficient_history,10.0
0203489,average_fallback,insufficient_history,4.0
0203594,average_fallback,insufficient_history,1.0
0204517,average_fallback,insufficient_history,2.0
0206150,average_fallback,insufficient_history,10.0
0206287,exponential_smoothing,highly_variable,0.4
0207883,average_fallback,insufficient_history,5.0
0207885,average_fallback,insufficient_history,1.0
0208364,average_fallback,insufficient_history,1.0
0208966,average_fallback,insufficient_history,25.0
0209188,average_fallback,insufficient_history,1.0
0211948,average_fallback,insufficient_history,12.0
0211993,average_fallback,insufficient_history,20.0
0212336,average_fallback,insufficient_history,1.0
0212739,average_fallback,insufficient_history,6.0
0215007,average_fallback,insufficient_history,36.0
0215008,exponential_smoothing,highly_variable,48.0
0215009,average_fallback,insufficient_history,12.0
0216205,average_fallback,insufficient_history,20.0
0217867,average_fallback,insufficient_history,5.0
0218240,exponential_smoothing,highly_variable,9.19
0218522484,average_fallback,insufficient_history,4.0
0218524580,exponential_smoothing,highly_variable,0.46
0218627,average_fallback,insufficient_history,14.0
0218857,exponential_smoothing,highly_variable,6.0
0219 504 411,average_fallback,insufficient_history,2.0
0219200,exponential_smoothing,highly_variable,158.95
0219309,exponential_smoothing,moderate,24.53
0219501,exponential_smoothing,highly_variable,1.56
0219508,average_fallback,insufficient_history,20.0
0219535,average_fallback,insufficient_history,10.0
0219539,exponential_smoothing,highly_variable,1.99
0219758,average_fallback,insufficient_history,20.0
0219792,average_fallback,insufficient_history,20.0
0220095,exponential_smoothing,highly_variable,15.56
0220743,average_fallback,insufficient_history,1.0
0221282,exponential_smoothing,highly_variable,0.33
0222284,average_fallback,insufficient_history,3.0
0222285,average_fallback,insufficient_history,3.0
0222959,average_fallback,insufficient_history,5.0
0222967,average_fallback,insufficient_history,1.0
0222977,exponential_smoothing,highly_variable,1.2
02233088,average_fallback,insufficient_history,17.5
0223439,exponential_smoothing,highly_variable,73.64
0223529,exponential_smoothing,highly_variable,5.5
0223562,exponential_smoothing,highly_variable,5.0
0223574,average_fallback,insufficient_history,4.0
0224613,exponential_smoothing,highly_variable,0.39
0224638,average_fallback,insufficient_history,3.0
0225733,average_fallback,insufficient_history,25.0
0225938,average_fallback,insufficient_history,1.0
0226078,average_fallback,insufficient_history,1.0
0226255,average_fallback,insufficient_history,2.0
0226458,average_fallback,insufficient_history,10.0
0226718,average_fallback,insufficient_history,2.5
0226921,exponential_smoothing,highly_variable,2.67
0226927,exponential_smoothing,highly_variable,3.33
0227369,average_fallback,insufficient_history,5.0
0227597,average_fallback,insufficient_history,1.0
0227701,average_fallback,insufficient_history,10.0
0227798,exponential_smoothing,highly_variable,0.42
0228011,exponential_smoothing,highly_variable,48.0
0229834,exponential_smoothing,highly_variable,0.62
0229938,average_fallback,insufficient_history,3.0
023206,average_fallback,insufficient_history,1.0
0233336,average_fallback,insufficient_history,1.0
0233425,average_fallback,insufficient_history,1.0
0233519,average_fallback,insufficient_history,1.0
0233622,average_fallback,insufficient_history,24.0
0235230,average_fallback,insufficient_history,50.0
0236388,average_fallback,insufficient_history,2.0
0237639,average_fallback,insufficient_history,2.0
0237785,average_fallback,insufficient_history,5.0
0237789,average_fallback,insufficient_history,4.0
0238627,exponential_smoothing,highly_variable,0.75
0238636,average_fallback,insufficient_history,1.0
0243879,average_fallback,insufficient_history,1.0
0244307,average_fallback,insufficient_history,1.0
0244851,average_fallback,insufficient_history,1.0
0246070,average_fallback,insufficient_history,3.0
024674,average_fallback,insufficient_history,2.0
0247086,average_fallback,insufficient_history,1.0
024724,average_fallback,insufficient_history,1.0
024727,average_fallback,insufficient_history,1.0
024731,average_fallback,insufficient_history,1.0
024737,average_fallback,insufficient_history,1.0
0248013,average_fallback,insufficient_history,1.0
0249099,exponential_smoothing,moderate,4.0
0251298,average_fallback,insufficient_history,2.0
0253023,average_fallback,insufficient_history,5.0
0254028,exponential_smoothing,highly_variable,3.0
0254667,average_fallback,insufficient_history,2.0
0254SDSR41A-P,average_fallback,insufficient_history,1.0
0255547,average_fallback,insufficient_history,6.0
0255812,average_fallback,insufficient_history,1.0
02558230127,exponential_smoothing,highly_variable,2.5
02558230167,exponential_smoothing,highly_variable,1.21
02558240347,average_fallback,insufficient_history,12.0
0257878,average_fallback,insufficient_history,1.0
0257915,average_fallback,insufficient_history,5.0
0257994,average_fallback,insufficient_history,2.0
0258005,average_fallback,insufficient_history,1.0
0259004,average_fallback,insufficient_history,3.0
0259171,average_fallback,insufficient_history,5.0
0259235,average_fallback,insufficient_history,5.0
0259245,exponential_smoothing,highly_variable,0.8
0259257,average_fallback,insufficient_history,2.0
0259367,average_fallback,insufficient_history,2.0
0259562,exponential_smoothing,highly_variable,0.25
0259570,average_fallback,insufficient_history,3.0
0259578,average_fallback,insufficient_history,1.5
0265030,average_fallback,insufficient_history,4.0
0265095,average_fallback,insufficient_history,1.0
026627,average_fallback,insufficient_history,1.0
0267634,average_fallback,insufficient_history,4.0
0269150,average_fallback,insufficient_history,1.0
0271546,exponential_smoothing,moderate,46.67
0271547-CR,average_fallback,insufficient_history,50.0
0271723-CR,exponential_smoothing,highly_variable,50.0
0271781,exponential_smoothing,highly_variable,5.56
0273469,exponential_smoothing,highly_variable,112.69
0274636,average_fallback,insufficient_history,10.0
027658,average_fallback,insufficient_history,1.0
0281832,average_fallback,insufficient_history,5.0
0282986,exponential_smoothing,highly_variable,2.67
028445,average_fallback,insufficient_history,1.0
0292528,average_fallback,insufficient_history,1.0
02964609,average_fallback,insufficient_history,2.0
0297641,average_fallback,insufficient_history,10.0
0297646,average_fallback,insufficient_history,10.0
0297654,average_fallback,insufficient_history,10.0
0301913,average_fallback,insufficient_history,6.0
0304XSSB41A-P,average_fallback,insufficient_history,1.0
0306481,average_fallback,insufficient_history,3.0
0306484,average_fallback,insufficient_history,3.0
03070522,average_fallback,insufficient_history,3.0
03084965,average_fallback,insufficient_history,2.0
0309298,average_fallback,insufficient_history,2.0
0310412,average_fallback,insufficient_history,15.0
03106393,average_fallback,insufficient_history,12.0
03106439,average_fallback,insufficient_history,2.0
0310765,average_fallback,insufficient_history,12.0
0312222,average_fallback,insufficient_history,2.0
0312223,exponential_smoothing,highly_variable,0.26
03126766,average_fallback,insufficient_history,1.0
03133485,average_fallback,insufficient_history,2.0
0316941,average_fallback,insufficient_history,8.0
0318596,average_fallback,insufficient_history,10.0
0318953,average_fallback,insufficient_history,8.0
0320751,average_fallback,insufficient_history,5.0
0322304,average_fallback,insufficient_history,3.0
0322603,exponential_smoothing,highly_variable,2.5
0323-0292,average_fallback,insufficient_history,2.0
0323419,average_fallback,insufficient_history,1.0
0323441,average_fallback,insufficient_history,1.0
0323974,average_fallback,insufficient_history,5.0
0324901,average_fallback,insufficient_history,1.0
0325374,average_fallback,insufficient_history,4.0
0326751,average_fallback,insufficient_history,20.0
0326753,average_fallback,insufficient_history,20.0
0326759,average_fallback,insufficient_history,20.0
0326796,average_fallback,insufficient_history,10.0
0326799,exponential_smoothing,moderate,13.33
0326801,exponential_smoothing,highly_variable,3.86
0326803,exponential_smoothing,highly_variable,5.5
0326811,average_fallback,insufficient_history,20.0
0326813,exponential_smoothing,highly_variable,0.62
0326912,average_fallback,insufficient_history,5.0
0326913,average_fallback,insufficient_history,5.0
0327980,exponential_smoothing,highly_variable,19.93
0330153,average_fallback,insufficient_history,1.0
0330166,average_fallback,insufficient_history,1.0
0332281001,average_fallback,insufficient_history,2.0
03322820001,average_fallback,insufficient_history,2.0
0332282001,exponential_smoothing,highly_variable,0.42
0332641000,average_fallback,insufficient_history,2.0
0333-0356,exponential_smoothing,highly_variable,3.64
0334 327 001,average_fallback,insufficient_history,1.0
0334 328 001,average_fallback,insufficient_history,1.0
0334 329 001,average_fallback,insufficient_history,1.0
0334 330 880,average_fallback,insufficient_history,1.0
0338174,average_fallback,insufficient_history,2.0
0339720001,exponential_smoothing,highly_variable,0.77
034011,average_fallback,insufficient_history,1.0
034012,average_fallback,insufficient_history,1.0
0342917,average_fallback,insufficient_history,1.0
0342918,average_fallback,insufficient_history,1.0
0342919,average_fallback,insufficient_history,1.0
0342920,average_fallback,insufficient_history,1.0
0342921,average_fallback,insufficient_history,1.0
0342922,average_fallback,insufficient_history,1.0
0342923,average_fallback,insufficient_history,1.0
0342924,average_fallback,insufficient_history,1.0
0342925,average_fallback,insufficient_history,1.0
0342926,average_fallback,insufficient_history,1.0
0343088,average_fallback,insufficient_history,1.0
0345837,average_fallback,insufficient_history,36.0
0345839,average_fallback,insufficient_history,36.0
0345841,average_fallback,insufficient_history,36.0
0345859,average_fallback,insufficient_history,36.0
0345901,average_fallback,insufficient_history,12.0
0346703,average_fallback,insufficient_history,3.0
03705554,average_fallback,insufficient_history,1.0
0382-0093,average_fallback,insufficient_history,2.0
03854800003,average_fallback,insufficient_history,10.0
03854800017,average_fallback,insufficient_history,5.0
03854800027,average_fallback,insufficient_history,8.0
0386147,average_fallback,insufficient_history,1.0
0386B003,average_fallback,insufficient_history,3.0
0391844022,average_fallback,insufficient_history,10.0
0397106,average_fallback,insufficient_history,1.0
0398411,average_fallback,insufficient_history,1.0
0398412,average_fallback,insufficient_history,1.0
04-0320-00,exponential_smoothing,highly_variable,4.0
04-G 203,average_fallback,insufficient_history,75.0
0402809,average_fallback,insufficient_history,1.0
04028832,average_fallback,insufficient_history,4.0
04028927,average_fallback,insufficient_history,10.0
04029026,average_fallback,insufficient_history,6.0
04032000,average_fallback,insufficient_history,10.0
04098U582671,average_fallback,insufficient_history,1.0
0415 499 001,average_fallback,insufficient_history,6.0
041712016071,average_fallback,insufficient_history,1.0
041722003071,average_fallback,insufficient_history,1.0
041723001071,average_fallback,insufficient_history,1.0
041802,average_fallback,insufficient_history,1.0
0418655,average_fallback,insufficient_history,30.0
041897,average_fallback,insufficient_history,1.0
041A3504,average_fallback,insufficient_history,2.0
0423802,average_fallback,insufficient_history,5.0
0423804,average_fallback,insufficient_history,5.0
0423807,average_fallback,insufficient_history,2.0
0423825,exponential_smoothing,highly_variable,2.0
0425562,average_fallback,insufficient_history,5.0
0425883,average_fallback,insufficient_history,20.0
0426897,average_fallback,insufficient_history,20.0
0426898,average_fallback,insufficient_history,50.0
0428211,exponential_smoothing,highly_variable,10.0
0428814,average_fallback,insufficient_history,100.0
0433851001,average_fallback,insufficient_history,2.0
0435507,average_fallback,insufficient_history,100.0
0436665-CR,exponential_smoothing,highly_variable,2.31
0436734,exponential_smoothing,moderate,180.0
0436737,exponential_smoothing,highly_variable,22.35
043809,exponential_smoothing,highly_variable,3.2
0439048,average_fallback,insufficient_history,1.0
0439128,average_fallback,insufficient_history,1.0
0439283,exponential_smoothing,highly_variable,30.0
0439284,average_fallback,insufficient_history,15.0
0439294,average_fallback,insufficient_history,30.0
0439295,average_fallback,insufficient_history,3.0
0439299,exponential_smoothing,highly_variable,2.99
0439301,average_fallback,insufficient_history,8.0
0439305,average_fallback,insufficient_history,1.0
0439341,average_fallback,insufficient_history,2.0
0443139,exponential_smoothing,highly_variable,7.73
0446816,average_fallback,insufficient_history,2.0
0447839,average_fallback,insufficient_history,20.0
044882300032 359627333375,average_fallback,insufficient_history,1.0
0449 295 001,exponential_smoothing,highly_variable,0.12
0453686,average_fallback,insufficient_history,7.0
0454085,exponential_smoothing,highly_variable,9.97
0454109,exponential_smoothing,moderate,76.25
0454121,exponential_smoothing,highly_variable,27.53
0454778,average_fallback,insufficient_history,20.0
0454906,exponential_smoothing,moderate,16.67
0455001,exponential_smoothing,highly_variable,161.36
0455921,average_fallback,insufficient_history,100.0
04653U307071,average_fallback,insufficient_history,1.0
0474611,average_fallback,insufficient_history,2.0
04801117193,average_fallback,insufficient_history,30.0
0484046,average_fallback,insufficient_history,3.0
0484050,average_fallback,insufficient_history,4.0
0484096,average_fallback,insufficient_history,2.0
0484124,average_fallback,insufficient_history,2.0
0484138,average_fallback,insufficient_history,6.0
0490533,average_fallback,insufficient_history,2.5
04G203,average_fallback,insufficient_history,50.0
04X202,average_fallback,insufficient_history,5.0
05000000,average_fallback,insufficient_history,2.0
05000002,average_fallback,insufficient_history,2.0
05000004,average_fallback,insufficient_history,2.0
05000011,average_fallback,insufficient_history,2.0
05010287,average_fallback,insufficient_history,2.0
0501227,average_fallback,insufficient_history,2.0
0502277,exponential_smoothing,highly_variable,1.0
0502278,exponential_smoothing,moderate,1.0
05034MI,average_fallback,insufficient_history,1.0
0503886,average_fallback,insufficient_history,1.0
0505086,average_fallback,insufficient_history,10.0
0505567,average_fallback,insufficient_history,1.0
05065337,average_fallback,insufficient_history,1.0
0506922,average_fallback,insufficient_history,2.0
0506951,average_fallback,insufficient_history,1.0
0509484,exponential_smoothing,highly_variable,2.93
0509488,moving_average_3m,stable,25.0
0509999,average_fallback,insufficient_history,1.0
0523587,average_fallback,insufficient_history,1.0
0525051,average_fallback,insufficient_history,2.0
0525213,average_fallback,insufficient_history,10.0
0528301,average_fallback,insufficient_history,1.0
0530675,average_fallback,insufficient_history,5.0
0532925,average_fallback,insufficient_history,1.0
0533746,average_fallback,insufficient_history,1.0
0542969,average_fallback,insufficient_history,4.0
0544719,average_fallback,insufficient_history,4.0
0545281,average_fallback,insufficient_history,25.0
0547241,average_fallback,insufficient_history,20.0
0547242,average_fallback,insufficient_history,10.0
0547271,average_fallback,insufficient_history,10.0
0547646,average_fallback,insufficient_history,1.0
0547647,average_fallback,insufficient_history,1.0
0547649,average_fallback,insufficient_history,1.0
0547650,average_fallback,insufficient_history,1.0
0550,average_fallback,insufficient_history,3.0
0555203,average_fallback,insufficient_history,100.0
0555352,average_fallback,insufficient_history,200.0
0556312,average_fallback,insufficient_history,1.0
0557957,average_fallback,insufficient_history,10.0
0558121,exponential_smoothing,highly_variable,7.5
0558618,exponential_smoothing,moderate,6.67
0558619,average_fallback,insufficient_history,10.0
0558621,exponential_smoothing,moderate,8.33
0558622,average_fallback,insufficient_history,10.0
0558623,average_fallback,insufficient_history,10.0
0558747,average_fallback,insufficient_history,10.0
0558748,average_fallback,insufficient_history,10.0
0558777,average_fallback,insufficient_history,10.0
0568542,average_fallback,insufficient_history,2.0
0568854,average_fallback,insufficient_history,2.0
0569066,average_fallback,insufficient_history,1.0
0569067,average_fallback,insufficient_history,2.0
0569069,average_fallback,insufficient_history,1.0
0569070,average_fallback,insufficient_history,1.0
0569081,exponential_smoothing,highly_variable,3.6
0569096,exponential_smoothing,highly_variable,0.4
0569099,exponential_smoothing,highly_variable,3.6
056T17F15948,average_fallback,insufficient_history,1.0
05706991017144,average_fallback,insufficient_history,1.0
0574876,average_fallback,insufficient_history,1.0
0579408,average_fallback,insufficient_history,1.0
0579765,exponential_smoothing,highly_variable,1.0
0580175,exponential_smoothing,highly_variable,1.0
0580177,exponential_smoothing,highly_variable,1.36
058428,average_fallback,insufficient_history,6.0
0586332,exponential_smoothing,highly_variable,3.08
0590236,average_fallback,insufficient_history,70.0
0590280,average_fallback,insufficient_history,1.0
0590285,average_fallback,insufficient_history,1.0
0590728,average_fallback,insufficient_history,3.0
0590746,average_fallback,insufficient_history,2.0
0590747,average_fallback,insufficient_history,2.0
0590778,average_fallback,insufficient_history,6.0
0590799,average_fallback,insufficient_history,8.0
0592041,average_fallback,insufficient_history,2.0
