PartNum,ABC,avg_daily_demand,lead_time_days,StdDailyDemand,stddev_method,SiteMinimum,lead_time_source
#00MA00001 & #00MA05300,B,0.004061738424045491,21.0,0.25,estimated,2,actual
#1 tool repair,B,0.003249390739236393,21.0,0.0,estimated,0,actual
#12,C,0.008123476848090982,21.0,0.0,estimated,0,actual
#2 tool repair,B,0.0008123476848090983,21.0,0.0,estimated,0,actual
#33 W/HDWR 3 WHEEL,C,0.016246953696181964,21.0,0.0,estimated,0,actual
#F-2800,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
#F-2803,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
#F-2810,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
#F-2813,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
#F-2823,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
#F-2833,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
*COMM SECTIO,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
*COMM SPRIN,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
*COMM SPRING,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
*LIFTMASTER,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
*MISC RAYNOR,C,0.002437043054427295,21.0,0.25,estimated,2,actual
*MISC SECTI,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
-L14112-1500,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.2AXISDROINSTALL,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.312 37- 3/4 C RIGHT,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.312 48- 3/4 C Pair,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.312 WIRE X 59.75 LONG X 2.25,C,0.002437043054427295,21.0,0.25,estimated,2,actual
.331 43- 1/4 C LEFT,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.331 X 36 X 3.5 RW,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.331x43x3.5 Right,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.344 X 39 X 3.5 LW,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.344x46.5x3.5 Left,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.362 45 D PAIR,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.393 X 51.25 X 5.5 Right wound,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.406 WIRE X 56.5 X 5.5 LEFT,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
".406 WIRE X 56.5 X 5.5, RIGHT",C,0.002437043054427295,21.0,0.25,estimated,2,actual
.406 X 54 X 5.5 ID X LEFT WOUND,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
.406 X 55.25 X 5.5 Left Wound,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.AR-LMV50,B,0.0008123476848090983,21.0,0.0,estimated,0,actual
.EC0705,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.EC0711,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.SP-250A,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
.XAXISINSTALL,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
000-068,C,0.016246953696181964,21.0,0.0,estimated,0,actual
00028,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
00087750,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
00088944,C,0.008123476848090982,21.0,0.5,estimated,3,actual
0015184,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
003101,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
003149,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
003233,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
003249,C,0.0008123476848090983,21.0,0.0,estimated,0,actual
00370521,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
00446310,C,0.0016246953696181965,21.0,0.0,estimated,0,actual
