PartNum,StdDailyDemand,MeanDailyDemand,LeadTimeDays,safety_stock,service_level
#00MA00001 & #00MA05300,0.08544332647390693,0.004061738424045491,21.0,0.6,0.95
#1 tool repair,0.05693386861939002,0.003249390739236393,21.0,0.4,0.95
#12,0.285017137170574,0.008123476848090982,21.0,2.2,0.95
#2 tool repair,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
#33 W/HDWR 3 WHEEL,0.5700342743411481,0.016246953696181964,21.0,4.3,0.95
#F-2800,0.0570034274341148,0.0016246953696181965,21.0,0.4,0.95
#F-2803,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
#F-2810,0.0570034274341148,0.0016246953696181965,21.0,0.4,0.95
#F-2813,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
#F-2823,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
#F-2833,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
*COMM SECTIO,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
*COMM SPRIN,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
*COMM SPRING,0.04029112159116189,0.0016246953696181965,21.0,0.3,0.95
*LIFTMASTER,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
*MISC RAYNOR,0.06371104019678757,0.002437043054427295,21.0,0.5,0.95
*MISC SECTI,0.028501713717057398,0.0008123476848090983,21.0,0.2,0.95
-L14112-1500,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.2AXISDROINSTALL,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.312 37- 3/4 C RIGHT,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.312 48- 3/4 C Pair,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.312 WIRE X 59.75 LONG X 2.25,0.06371104019678757,0.002437043054427295,21.0,0.5,0.95
.331 43- 1/4 C LEFT,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.331 X 36 X 3.5 RW,0.028501713717057404,0.0008123476848090983,21.0,0.2,0.95
.331x43x3.5 Right,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.344 X 39 X 3.5 LW,0.028501713717057404,0.0008123476848090983,21.0,0.2,0.95
.344x46.5x3.5 Left,0.0285017137170574,0.0008123476848090983,21.0,0.2,0.95
.362 45 D PAIR,0.028501713717057404,0.0008123476848090983,21.0,0.2,0.95
